year,station,do,ph,co,bod,na,tc,wqi
2014,2307,7.3,6.9,96,1.9,0.2,825,79.46
2014,1339,6.8,6.6,49,0.5,0.4,2950,73.04
2014,2304,5.6,7.2,24360,2.1,0.3,447,82.04
2014,43,6.9,6.8,59,0.6,0.5,3375,79.64
2014,2302,7.1,6.8,14410,1.8,0.1,468,84.36
2014,1570,6.2,7.2,22757,1.5,0.1,542,82.04
2014,1563,6.7,7.1,66,0.6,0,626,82.94
2014,2284,7.2,7,59,0.6,0,433,88.56
2014,2288,6,7.6,120,1.3,1.1,523,82.76
2014,1156,5.2,6.8,55,0.6,0.7,313,79.64
2014,1341,4.8,6.8,86,0.7,0.8,332,73.84
2014,1565,3.9,6.9,62,0.5,0.7,284,68.4
2014,17,5,6.9,3185,1.8,0.4,667,67.5
2014,18,7,7,36,1.1,0.2,541,82.94
2014,1338,6.3,6.9,64,1.2,0.3,815,79.64
2014,2333,6.2,6.9,86,1.3,0.2,1007,79.46
2014,2334,5.7,6.8,2640,1.9,0.5,759,73.12
2014,2335,5.7,6.9,53,3.1,0.4,1205,69.34
2014,2336,6.6,7.1,2007,1.3,0.2,785,82.04
2014,3468,6.6,7,46,1.3,0.3,472,88.56
2014,2300,6.5,6.5,43,0.9,0.4,188,78.66
2014,2303,6.7,6.3,54,0.9,0.1,610,66.44
2014,2290,4.3,7.2,113,1.8,0.4,796,71.52
2014,2299,4.6,6.7,12561,1.5,0.6,171,69.82
2014,2305,7.7,6.9,61,1.6,0,554,79.64
2014,2296,5.8,6.5,61,1,0.4,151,73.04
2014,2292,4.5,6.9,1614,2.1,0.6,230,73.12
2014,2306,6.9,7.2,20950,1.3,0.2,643,82.04
2014,3473,6.6,7,14487,0.9,0.3,103,87.66
2014,1442,6.9,7.5,54,0.6,0,1633,82.94
2014,1448,5.5,7.6,569,1.3,0.9,141,82.04
2014,2352,5.4,7.8,310,0.8,2.4,107,82.04
2014,3080,7.1,7.8,516,0.7,0.5,1238,82.04
